rank,z_start,z_end,start_s,span_ns,plot_time_bin_factor,plotted_bin_ns,hits,occupied_voxels,particles,noise_fraction,image
1,7014643200,7014645760,10.96038,4000.0,10,15.625,955,955,120,0.3706806282722513,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_01_z7014643200_7014645760_cubes.png
2,5084400640,5084403200,7.944376,4000.0,10,15.625,312,312,49,0.3942307692307692,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_02_z5084400640_5084403200_cubes.png
3,3836631040,3836633600,5.9947360000000005,4000.0,10,15.625,277,277,47,0.34657039711191334,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_03_z3836631040_3836633600_cubes.png
4,10665648640,10665651200,16.665076000000003,4000.0,10,15.625,394,394,43,0.36548223350253806,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_04_z10665648640_10665651200_cubes.png
5,4177305600,4177308160,6.52704,4000.0,10,15.625,375,375,42,0.216,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_05_z4177305600_4177308160_cubes.png
6,4435425280,4435427840,6.930352,4000.0,10,15.625,367,367,42,0.26430517711171664,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_06_z4435425280_4435427840_cubes.png
7,7559687680,7559690240,11.812012000000001,4000.0,10,15.625,354,354,40,0.20903954802259886,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_07_z7559687680_7559690240_cubes.png
8,4473067520,4473070080,6.989168,4000.0,10,15.625,292,292,40,0.2636986301369863,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_08_z4473067520_4473070080_cubes.png
9,5449648640,5449651200,8.515076,4000.0,10,15.625,238,238,36,0.3277310924369748,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_09_z5449648640_5449651200_cubes.png
10,5447508480,5447511040,8.511732,4000.0,10,15.625,237,237,35,0.38396624472573837,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_10_z5447508480_5447511040_cubes.png
11,5079488000,5079490560,7.9367,4000.0,10,15.625,177,177,34,0.2824858757062147,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_11_z5079488000_5079490560_cubes.png
12,5284866560,5284869120,8.257604,4000.0,10,15.625,228,228,33,0.2850877192982456,docs/assets/native_grid_dbscan_fine_voxel_like_crowded_08_7293_many_particles_10x_time_fixed_z/whole_file_window_12_z5284866560_5284869120_cubes.png
