rank,i,j,z_dist,transform_dist,canonical_rmse,reconstruction_rmse,image,a_source,a_particle_id,a_hits,a_err,a_dx,a_dy,a_dt,a_theta_xy,a_theta_time,a_scale_xyz,a_energy_scale,b_source,b_particle_id,b_hits,b_err,b_dx,b_dy,b_dt,b_theta_xy,b_theta_time,b_scale_xyz,b_energy_scale
1,5323,18968,0.32222357392311096,3.105035166268647,0.014640403911471367,0.011234382167458534,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_01.png,F08/tot_toa__r0000000028.t3pa,83788,217,0.08622665703296661,0.00023069752205628902,0.0001340975722996518,0.00017135965754278004,1.27587890625,0.0029004260431975126,0.26124703884124756,0.4420735836029053,F08/tot_toa__r0000000042.t3pa,8307,112,0.0825304165482521,0.00017507940356153995,-0.00011464937415439636,-0.00025419864687137306,-1.9050188064575195,0.13267898559570312,0.250680148601532,0.4521077275276184
2,6389,11025,0.3599011301994324,3.016668011664588,0.015677498653531075,0.02272631600499153,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_02.png,F08/tot_toa__r0000000028.t3pa,25748,152,0.09270388633012772,6.203546945471317e-05,1.707223418634385e-05,6.535106876981445e-06,-0.13168278336524963,0.13869443535804749,0.2762923836708069,0.4337189793586731,F08/tot_toa__r0000000028.t3pa,49623,124,0.09597377479076385,0.00015146828081924468,4.81704919366166e-05,-0.0001328705984633416,3.139087677001953,-0.01824967935681343,0.30402278900146484,0.4181380867958069
3,13006,14228,0.3430580794811249,2.660433165458894,0.013589666225016117,0.008615536615252495,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_03.png,F08/tot_toa__r0000000037.t3pa,5920,57,0.06716851890087128,5.319902265910059e-05,-7.916598406154662e-05,-0.0002177443529944867,-0.6160699725151062,0.12279165536165237,0.33655232191085815,0.4471719264984131,F08/tot_toa__r0000000028.t3pa,54535,41,0.06916394829750061,-9.320383833255619e-05,2.5715416995808482e-06,6.636443140450865e-05,3.015317916870117,-0.0905904471874237,0.32083064317703247,0.43736374378204346
4,1814,18030,0.41805794835090637,2.972725381680144,0.021777059882879257,0.02850623056292534,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_04.png,F08/tot_toa__r0000000028.t3pa,54691,301,0.08504776656627655,7.590437598992139e-05,7.952160376589745e-05,-1.1701818948495202e-05,1.2752671241760254,-0.045531757175922394,0.26051682233810425,0.4736769199371338,F08/tot_toa__r0000000028.t3pa,41853,166,0.10595729947090149,0.0001274062815355137,7.776838901918381e-05,1.5898391211521812e-05,-1.6932096481323242,0.10222429782152176,0.31717735528945923,0.45954978466033936
5,2022,8738,0.4000134766101837,2.684472133349864,0.021802252158522606,0.021599838510155678,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_05.png,data M07/sync__M07-W0044_r000.t3pa,153838,16,0.07347934693098068,4.079921927768737e-05,8.41163273435086e-06,8.757533578318544e-06,-2.567049026489258,-0.047114428132772446,0.3600781559944153,0.6867545247077942,data M07/sync__M07-W0044_r000.t3pa,263144,13,0.031249849125742912,-2.0889274310320616e-07,-1.7141297576017678e-05,4.2662504711188376e-05,0.11636605113744736,-0.10179586708545685,0.3697032928466797,0.6358533501625061
6,11279,19085,0.446534126996994,2.958041990593111,0.021766142919659615,0.021356720477342606,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_06.png,F08/tot_toa__r0000000028.t3pa,45334,73,0.06860733777284622,0.000260386208537966,8.670629176776856e-05,-8.496803638990968e-05,-1.2859410047531128,0.10213304311037064,0.36425232887268066,0.4065210819244385,F08/tot_toa__r0000000028.t3pa,4062,32,0.07139920443296432,0.000130998800159432,-7.070165884215385e-05,-0.00043537066085264087,1.6674491167068481,-0.06305082142353058,0.3562473654747009,0.4187380075454712
7,15778,22373,0.41168421506881714,2.702482516496948,0.02440039999783039,0.024304455146193504,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_07.png,F08/tot_toa__r0000000037.t3pa,3396,133,0.11324301362037659,5.322464858181775e-06,-9.18240548344329e-05,-8.699156751390547e-05,-1.0657237768173218,-0.005251475144177675,0.2817302346229553,0.4555254578590393,F08/tot_toa__r0000000042.t3pa,11958,131,0.09894315153360367,0.00010824734636116773,3.661743539851159e-05,-4.2252460843883455e-05,1.6364601850509644,-0.007365766447037458,0.31646519899368286,0.43546128273010254
8,5323,21780,0.48470020294189453,3.126123412021834,0.027447765693068504,0.008316992782056332,docs/assets/phase2_shape8_heavy_training/latent_transform_pairs/latent_pair_08.png,F08/tot_toa__r0000000028.t3pa,83788,217,0.08622665703296661,0.00023069752205628902,0.0001340975722996518,0.00017135965754278004,1.27587890625,0.0029004260431975126,0.26124703884124756,0.4420735836029053,F08/tot_toa__r0000000037.t3pa,4972,113,0.07454487681388855,0.00016108476847875863,-2.428263542242348e-06,-7.706809265073389e-05,-1.8860247135162354,0.1760917603969574,0.24536466598510742,0.4428737163543701
