centroid_x,centroid_y,energy_max,energy_sum,n_hits,particle_id,q_theta,row,scale_xy,size_bucket,source_path,split,theta_xy,view_n_hits,energy_path_relative_l2,rank,image
-0.0003282360256594,0.0005542084648473,0.7499845623970032,149.59629444032907,512,18070,0.0212630574737063,5958,0.1024742400904363,>512 sampled,F08/tot_toa__r0000000042.t3pa,test,0.3332911003741623,512,0.28860393166542053,1,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_01_p18070_path_ae.png
-0.0021849226290477,0.0021507566018341,0.4459431767463684,192.68790355324745,512,35403,0.0467963774183568,10655,0.1534105466926963,>512 sampled,F08/tot_toa__r0000000042.t3pa,test,-2.338611743963368,512,0.3346378207206726,2,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_02_p35403_path_ae.png
0.0085315346531075,0.0009771271079446,0.7247927188873291,193.18140425533056,512,8867,0.9940705041861094,11950,0.7252305724711454,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,-3.0687009384928894,512,0.3934430778026581,3,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_03_p8867_path_ae.png
0.0004539253894958,0.0012808215294746,0.7499845623970032,147.96256084740162,512,47164,0.024040006124347,16391,0.1096318307169682,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,0.568739951956915,512,0.33952540159225464,4,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_04_p47164_path_ae.png
0.0008562862562643,-0.0020991877002235,0.7442943453788757,224.2730642929673,512,95108,0.9878139616927069,5999,0.3135524113992993,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,1.8440659030561344,512,0.34320059418678284,5,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_05_p95108_path_ae.png
0.0003660814704097,0.0013018785178666,0.7539158463478088,150.323477268219,512,3615,0.0239537244633857,2453,0.1077377928484724,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,-1.0726508640546444,512,0.34708020091056824,6,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_06_p3615_path_ae.png
0.0022752416648765,-0.000282746412082,0.4807355105876922,203.5855888724327,512,2618,0.0117057089280911,5955,0.1248656739935768,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,-2.1351425921116305,512,0.35240715742111206,7,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_07_p2618_path_ae.png
-2.4012855441594558e-05,-0.0001284132662629,0.7507794499397278,151.20510505884886,512,3209,0.0368212904203864,2456,0.1057948491857422,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,0.182696205131696,512,0.3405725657939911,8,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_08_p3209_path_ae.png
0.000201583332215,-0.0002420695190747,0.743462860584259,194.8716918081045,512,48342,0.9775468996383456,2474,0.2673257039350346,>512 sampled,F08/tot_toa__r0000000028.t3pa,test,3.0944483013223274,512,0.2919974625110626,9,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_09_p48342_path_ae.png
0.0024714179115231,6.80942167858422e-05,0.735755205154419,228.13641280680892,512,3888,0.9962463410304444,13965,0.6100929772216251,>512 sampled,F08/tot_toa__r0000000042.t3pa,test,-0.0145957392303748,512,0.3887239992618561,10,docs/assets/phase2_path_ae_focus_v001/neural_z128/largest_10_p3888_path_ae.png
