path,folder,extension,bytes,rows,modified,chipboard_id,start_time_unix,start_time_string,acq_time_s,hv_v,threshold_kev,pixet_version,mpx_type,interface
13_tue_proton_daily_batch/toa_tot__r0000028523.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T08:53:22,G07-W0050,1707800001.268,Tue Feb 13 05:53:21.267999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028517.t3pa,13_tue_proton_daily_batch,.t3pa,649,23,2024-02-13T08:51:38,G07-W0050,1707799878.886,Tue Feb 13 05:51:18.885999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028608.t3pa,13_tue_proton_daily_batch,.t3pa,906,33,2024-02-13T09:22:24,G07-W0050,1707801724.218,Tue Feb 13 06:22:04.217999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028613.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:23:48,G07-W0050,1707801825.383,Tue Feb 13 06:23:45.382999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028606.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:21:26,G07-W0050,1707801683.752,Tue Feb 13 06:21:23.752000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028671.t3pa,13_tue_proton_daily_batch,.t3pa,601,21,2024-02-13T09:43:40,G07-W0050,1707802999.893,Tue Feb 13 06:43:19.892999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028564.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:07:14,G07-W0050,1707800832.953,Tue Feb 13 06:07:12.953000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028581.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:13:00,G07-W0050,1707801177.92,Tue Feb 13 06:12:57.920000 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028599.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:19:04,G07-W0050,1707801542.12,Tue Feb 13 06:19:02.119999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
13_tue_proton_daily_batch/toa_tot__r0000028572.t3pa.info,13_tue_proton_daily_batch,.t3pa.info,944,,2024-02-13T09:09:56,G07-W0050,1707800994.839,Tue Feb 13 06:09:54.838999 2024,20.0,80.0,3.49132,1.8.0,4,MiniPIX
