hit_bucket,items,mean_hits,z8_transform7_mean,z8_transform7_median,z8_transform7_p90,z32_transform7_mean,z32_transform7_median,z32_transform7_p90
2-3,11425,2.4629321663019694,0.004280657973140478,0.0038719044532626867,0.005851957015693188,0.004575488157570362,0.004226595163345337,0.006053322460502386
4-10,8898,5.3447965835019104,0.017464861273765564,0.010065620765089989,0.040915388613939285,0.013428783975541592,0.009692180901765823,0.02585909143090248
11-50,2372,25.25716694772344,0.11070773750543594,0.08481219410896301,0.23175349831581116,0.10508887469768524,0.07899124920368195,0.22724759578704834
51-128,1063,72.06585136406397,0.22958658635616302,0.2523084282875061,0.31589582562446594,0.2276942878961563,0.2509475648403168,0.3142898678779602
129-512,220,189.7,0.28425806760787964,0.3294691741466522,0.3959953486919403,0.2834717333316803,0.32876110076904297,0.39365604519844055
>512,22,697.8181818181819,0.3158695697784424,0.3335287868976593,0.4293312430381775,0.3129883408546448,0.3308671712875366,0.4287090599536896
