particle_id,n_hits,energy_sum,time_span,reconstruction_chamfer_xyte_norm,original_points,decoded_points,latent_dim,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07,z_08,z_09,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,plot
1365,124,354.6580505371094,177852032.0,0.47096338868141174,124,64,64,0.05493077263236046,0.033837370574474335,0.2035025954246521,-0.0073628234677016735,-0.06992921978235245,-0.12653841078281403,-0.047222934663295746,-0.0022317166440188885,-0.12740644812583923,-0.11587812751531601,-0.1078653335571289,-0.03399750217795372,-0.1610579639673233,-0.040514566004276276,-0.05278410390019417,-0.05375441163778305,0.08326847851276398,0.19162118434906006,0.02952427975833416,-0.161200612783432,-0.19393645226955414,0.16291292011737823,-0.04626389592885971,-0.042037203907966614,0.020966600626707077,0.09796803444623947,0.031078383326530457,-0.06221742928028107,-0.052624206990003586,-0.019089702516794205,0.04424409195780754,0.10046841949224472,-0.1794072687625885,0.15802782773971558,0.04179956763982773,-0.2851681113243103,0.06298989057540894,0.27716711163520813,-0.10752169042825699,-0.13739986717700958,-0.11135723441839218,0.08569739758968353,-0.07421259582042694,0.10644548386335373,-0.017382610589265823,0.04661652445793152,0.2633776366710663,0.07890913635492325,-0.05270139500498772,-0.24696168303489685,-0.1329951286315918,0.06122569739818573,0.1444283425807953,-0.07250185310840607,-0.22326332330703735,-0.08115566521883011,0.20648057758808136,0.037837885320186615,-0.14915674924850464,0.04936603829264641,0.1449708342552185,0.07900769263505936,-0.07659216225147247,-0.22618460655212402,docs/assets/phase2_autoencoder_reconstruction/particle_1365_original_vs_ae.png
671,120,340.48858642578125,223065718.0,0.461122989654541,120,64,64,0.1806565374135971,0.17511269450187683,0.15630541741847992,0.02411462552845478,-0.01963755302131176,-0.03929571434855461,-0.14856816828250885,0.10599711537361145,-0.217264324426651,-0.06876389682292938,-0.18070374429225922,0.00785386934876442,-0.07655944675207138,-0.15480370819568634,0.01350133866071701,-0.047596387565135956,0.03677556291222572,0.03223071247339249,-0.14493541419506073,-0.06313389539718628,-0.08562018722295761,0.08624434471130371,-0.043268486857414246,0.07309087365865707,0.05862439051270485,0.10597515106201172,0.07152274996042252,-0.06827792525291443,-0.08741269260644913,-0.21472209692001343,0.07782098650932312,0.0429089292883873,-0.16808277368545532,0.10761205106973648,-0.028330525383353233,-0.2847536504268646,-0.044116903096437454,0.2090161144733429,-0.21000991761684418,-0.2497113049030304,-0.19193986058235168,0.19066253304481506,-0.19327110052108765,-0.03858381509780884,-0.06274896115064621,0.14104045927524567,0.14541122317314148,-0.04916616156697273,0.07826868444681168,-0.1873597353696823,-0.0012150862021371722,0.011689725331962109,0.10185997933149338,-0.01160278171300888,-0.16931219398975372,-0.16223832964897156,0.12206929922103882,-0.057852257043123245,-0.13245798647403717,-0.02738175168633461,0.0709988996386528,0.1116362065076828,-0.15210667252540588,-0.08235776424407959,docs/assets/phase2_autoencoder_reconstruction/particle_0671_original_vs_ae.png
332,119,341.4152526855469,275359417.0,0.4435465335845947,119,64,64,0.08627557754516602,0.12867146730422974,0.11815060675144196,0.001333759049884975,-0.019023453816771507,-0.13511869311332703,-0.10479152202606201,0.054939452558755875,-0.25966623425483704,-0.16795767843723297,-0.14330697059631348,-0.08795790374279022,-0.05576780065894127,-0.09048521518707275,0.0742616131901741,0.012101816944777966,0.13741575181484222,0.14223340153694153,0.030491068959236145,-0.05285236984491348,-0.005975222215056419,0.10131282359361649,-0.025702377781271935,0.026177147403359413,-0.10011662542819977,0.15662352740764618,-0.011413543485105038,-0.12824931740760803,-0.11590526252985,-0.12649041414260864,0.036904677748680115,0.16937823593616486,-0.1994038224220276,-0.051030226051807404,-3.237056444049813e-05,-0.2111600935459137,-0.032398536801338196,0.348774254322052,-0.1918903887271881,-0.16727666556835175,-0.0700249969959259,0.15122410655021667,-0.1472979485988617,-0.05570625886321068,-0.006371853873133659,0.06254521012306213,0.17993085086345673,-0.019320949912071228,-0.038450825959444046,-0.1711416095495224,0.0574568435549736,-0.04497909918427467,0.012068213894963264,-0.06985644996166229,-0.2126268446445465,-0.22664445638656616,0.1844376027584076,-0.05261934921145439,-0.2395751029253006,0.04038754105567932,-0.018174177035689354,0.061874933540821075,-0.04218219965696335,-0.1424095779657364,docs/assets/phase2_autoencoder_reconstruction/particle_0332_original_vs_ae.png
1271,113,337.7075500488281,213332388.0,0.3689560294151306,113,64,64,0.003537829266861081,0.1283877193927765,0.109963059425354,-0.09665527194738388,-0.02064063772559166,-0.131160169839859,-0.18555323779582977,0.13823990523815155,-0.2266724407672882,-0.06422541290521622,-0.20414304733276367,-0.04133867472410202,0.007770041935145855,-0.0691637173295021,0.006949566770344973,-0.031988099217414856,0.06608346104621887,0.1337745040655136,-0.04310480132699013,-0.19351816177368164,-0.06703253835439682,0.04114142432808876,-0.046911608427762985,0.028329510241746902,-0.05776624009013176,0.05452777445316315,0.038851045072078705,-0.114301897585392,-0.07865892350673676,-0.049165669828653336,-0.011234525591135025,0.15700450539588928,-0.14530049264431,0.02990376390516758,0.10553067177534103,-0.28064385056495667,-0.04484543949365616,0.32829713821411133,-0.17339085042476654,-0.22878961265087128,-0.0922289565205574,0.2353513091802597,-0.14076924324035645,0.005567444022744894,-0.03823965787887573,0.05157192051410675,0.17108826339244843,-0.05792491137981415,-0.04279833659529686,-0.18458200991153717,-0.001209544250741601,0.00595630519092083,0.001841704361140728,0.02176380716264248,-0.2132447212934494,-0.12855985760688782,0.15528325736522675,-9.165249139186926e-06,-0.2582155168056488,0.030927767977118492,0.02609359100461006,0.09296079725027084,-0.12330427765846252,-0.14760839939117432,docs/assets/phase2_autoencoder_reconstruction/particle_1271_original_vs_ae.png
1508,91,260.4969787597656,151823683.0,0.5174368619918823,91,64,64,0.05872001871466637,0.03820216655731201,0.07114211469888687,0.018841074779629707,0.09187986701726913,-0.24420365691184998,-0.1454588621854782,0.008988751098513603,-0.15049755573272705,-0.10791543871164322,-0.193341925740242,-0.12031372636556625,-0.08239168673753738,0.0035639868583530188,0.09875129163265228,0.05385894328355789,0.14553196728229523,0.1673486828804016,0.09948928654193878,-0.03772192448377609,-0.025451794266700745,0.022296007722616196,-0.07705462723970413,0.03266971558332443,-0.028788357973098755,0.1208779513835907,-0.11708252876996994,-0.15551966428756714,-0.11160778999328613,0.009013666771352291,0.02104334346950054,0.1880428045988083,-0.17009253799915314,-0.10207144916057587,0.03858233615756035,-0.12101871520280838,-0.021043576300144196,0.454247385263443,-0.10144805908203125,-0.139056995511055,0.12961538136005402,0.1546964943408966,-0.06700388342142105,0.044147174805402756,0.019668132066726685,0.08166621625423431,0.18670335412025452,-0.09636522084474564,-0.10604070872068405,-0.05462716892361641,0.14169782400131226,-0.04045034945011139,-0.07519844174385071,-0.15019021928310394,-0.2004365473985672,-0.20731127262115479,0.10190725326538086,0.041390176862478256,-0.23353251814842224,-0.019065510481595993,-0.0019685348961502314,-0.12159859389066696,-0.011954189278185368,-0.07011920213699341,docs/assets/phase2_autoencoder_reconstruction/particle_1508_original_vs_ae.png
44,89,258.4503173828125,169431689.0,0.47441214323043823,89,64,64,0.15430979430675507,0.017599500715732574,0.20087596774101257,0.007256397977471352,-0.030071264132857323,-0.17558851838111877,-0.0467928983271122,-0.011655882932245731,-0.16720326244831085,-0.09120908379554749,-0.10739671438932419,-0.07443395256996155,-0.11684762686491013,0.006426364183425903,-0.09982622414827347,-0.028538402169942856,0.1135692298412323,0.18918181955814362,0.09173867851495743,-0.11948015540838242,-0.2039368599653244,0.12580503523349762,-0.07876653224229813,-0.008127362467348576,0.06875134259462357,0.0295281819999218,-0.04161476343870163,-0.10339443385601044,-0.10738933831453323,-0.03963710740208626,0.03707166016101837,0.13255798816680908,-0.14646856486797333,0.07145600765943527,0.10296502709388733,-0.2226456254720688,0.07942170649766922,0.3435787558555603,-0.06747274845838547,-0.11282234638929367,-0.022798307240009308,0.1504138708114624,-0.08964276313781738,0.1454702764749527,-0.01870288886129856,0.09348473697900772,0.2842857539653778,0.14536793529987335,-0.08709687739610672,-0.19937153160572052,-0.08272033929824829,0.1326255053281784,0.05929984524846077,-0.0933653861284256,-0.138521209359169,-0.1079210415482521,0.15243828296661377,0.07924647629261017,-0.24551358819007874,0.047701429575681686,0.08746328204870224,0.060028914362192154,-0.046563345938920975,-0.1624089479446411,docs/assets/phase2_autoencoder_reconstruction/particle_0044_original_vs_ae.png
989,79,227.29986572265625,209557841.0,0.4469326138496399,79,64,64,-0.0024643715005367994,0.05766155198216438,0.1444847732782364,-0.01107065286487341,-0.038617104291915894,-0.21866832673549652,-0.10693556070327759,-0.01608489640057087,-0.1038447916507721,-0.13724105060100555,-0.11190527677536011,-0.11883164942264557,-0.12429330497980118,-0.0445944145321846,-0.022280972450971603,-0.048034921288490295,0.14563940465450287,0.22223789989948273,0.03656228259205818,-0.17657151818275452,-0.09841237217187881,0.09454270452260971,-0.08743385970592499,-0.02635723538696766,-0.016619281843304634,0.14933612942695618,-0.004135369323194027,-0.08043190091848373,-0.0940181165933609,0.036396324634552,0.028920907527208328,0.16847901046276093,-0.1669713407754898,0.055007703602313995,0.019508806988596916,-0.23688247799873352,0.02468649297952652,0.3552524745464325,-0.13756421208381653,-0.16948463022708893,-0.030143791809678078,0.08767673373222351,-0.055646587163209915,0.03461641073226929,-0.0233981441706419,-0.01846446469426155,0.2210768163204193,-0.01292079035192728,-0.10547670722007751,-0.20964191854000092,-0.049194686114788055,-0.018812919035553932,0.07512930035591125,-0.11078566312789917,-0.2750149071216583,-0.1114695742726326,0.21874642372131348,0.03991764411330223,-0.2014283984899521,0.0208803191781044,0.10205994546413422,-0.02235826849937439,-0.07096924632787704,-0.21148167550563812,docs/assets/phase2_autoencoder_reconstruction/particle_0989_original_vs_ae.png
956,76,218.56907653808597,201171183.0,0.3978317379951477,76,64,64,0.04027698561549187,0.03233075141906738,0.11907397955656052,0.003634255612269044,-0.017636852338910103,-0.22844086587429047,-0.1175481528043747,-0.020507682114839554,-0.15926460921764374,-0.15197902917861938,-0.14448282122612,-0.15174134075641632,-0.08359310030937195,-0.01789640448987484,0.06005045026540756,0.041277725249528885,0.15066109597682953,0.23355649411678314,0.12431710958480835,-0.10306503623723984,-0.06154363229870796,0.10521724820137024,-0.06778080761432648,0.013605067506432533,-0.06967346370220184,0.143142968416214,-0.06995388865470886,-0.12416840344667435,-0.11038452386856079,-0.02860671654343605,-0.0033371569588780403,0.19011157751083374,-0.15493498742580414,-0.05768764391541481,0.03649703413248062,-0.2099091112613678,0.03579988703131676,0.40115195512771606,-0.13185633718967438,-0.14653676748275757,0.05738110840320587,0.07833117246627808,-0.06459454447031021,0.020876873284578323,0.006285843439400196,0.015389220789074898,0.2388925403356552,-0.000589552044402808,-0.1076289713382721,-0.12933537364006042,0.02629324235022068,-0.0037092757411301136,-0.02257305011153221,-0.11802288144826889,-0.2590121328830719,-0.17524240911006927,0.17732234299182892,0.025046370923519135,-0.21608611941337585,0.02878926880657673,0.02989175170660019,-0.050341419875621796,-0.02194269746541977,-0.15402063727378845,docs/assets/phase2_autoencoder_reconstruction/particle_0956_original_vs_ae.png
1380,76,217.334228515625,135691095.0,0.3764345049858093,76,64,64,0.14462223649024963,0.1434611827135086,0.1403275579214096,-0.01939200609922409,8.007043652469292e-05,-0.13940554857254028,-0.0922945961356163,0.1276017278432846,-0.1635376214981079,-0.13302700221538544,-0.15931011736392975,0.0008899804088287055,-0.0924987867474556,-0.007025603204965591,-0.013252952136099339,-0.09335304796695709,0.054290685802698135,0.07095466554164886,-0.02259409986436367,-0.1330960988998413,-0.14947065711021423,0.14916428923606873,-0.022288119420409203,0.021683400496840477,0.09157350659370422,0.09548427909612656,-0.014828557148575783,-0.09026999026536942,-0.059126630425453186,-0.09074439853429794,0.09671422839164734,0.14728406071662903,-0.17696848511695862,0.1301167905330658,0.04602997750043869,-0.3166145980358124,0.04145072400569916,0.29264602065086365,-0.11144386976957321,-0.16400188207626343,-0.0687662661075592,0.1620539128780365,-0.14238251745700836,0.1127939373254776,-0.011783306486904621,0.1614079475402832,0.20209507644176483,0.016871316358447075,0.00016571667219977826,-0.19181686639785767,-0.07517868280410767,0.15341387689113617,0.09696003049612045,-0.003060905961319804,-0.14103522896766663,-0.11993879079818726,0.1342775821685791,0.023906243965029716,-0.2235051393508911,0.04526851326227188,0.1437278836965561,0.03833568096160889,-0.1630590707063675,-0.169966921210289,docs/assets/phase2_autoencoder_reconstruction/particle_1380_original_vs_ae.png
1136,72,200.9942321777344,146983728.0,0.29631465673446655,72,64,64,0.02192164584994316,0.0975842997431755,0.1325078308582306,-0.10500910878181458,0.005557912401854992,-0.17045527696609497,-0.12037047743797302,0.12462636828422546,-0.14009280502796173,-0.08957525342702866,-0.16867181658744812,-0.036889515817165375,-0.0569891594350338,0.02509984001517296,-0.07194120436906815,-0.08606275916099548,0.0833590030670166,0.1481485813856125,0.013363910838961601,-0.23260962963104248,-0.11423107981681824,0.08671706914901733,-0.04846474155783653,-0.013213058933615685,0.061844974756240845,0.06840923428535461,-0.0030956778209656477,-0.0834205225110054,-0.06302911788225174,0.012839221395552158,0.03353499993681908,0.19091613590717316,-0.14357008039951324,0.09228309988975525,0.09789389371871948,-0.2919265329837799,0.03162829950451851,0.3226394057273865,-0.11176984757184982,-0.16480551660060883,-0.04729361832141876,0.17668652534484863,-0.11132857948541641,0.08592651784420013,-0.019604584202170372,0.04959286376833916,0.2045770287513733,-0.005965280346572399,-0.0904238298535347,-0.18812298774719238,-0.09035488963127136,0.10112970322370529,0.036919236183166504,-0.01012483425438404,-0.19631944596767426,-0.07702433317899704,0.15417559444904327,0.042314741760492325,-0.2870686948299408,0.05037650093436241,0.12331780791282654,0.0033852029591798782,-0.14036442339420319,-0.21202272176742554,docs/assets/phase2_autoencoder_reconstruction/particle_1136_original_vs_ae.png
