rank,z_start,z_end,start_s,span_ns,hits,occupied_voxels,particles,noise_fraction,image
1,10475311104,10475311360,16.3676736,400.0,610,610,63,0.24262295081967214,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_01_z10475311104_10475311360_cubes.png
2,7264579328,7264579584,11.350905200000001,400.0,307,307,28,0.247557003257329,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_02_z7264579328_7264579584_cubes.png
3,8109521408,8109521664,12.6711272,400.0,210,210,32,0.3238095238095238,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_03_z8109521408_8109521664_cubes.png
4,10227003136,10227003392,15.979692400000001,400.0,183,183,16,0.3224043715846995,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_04_z10227003136_10227003392_cubes.png
5,11262773760,11262774016,17.598084,400.0,151,151,18,0.26490066225165565,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_05_z11262773760_11262774016_cubes.png
6,12492668672,12492668928,19.5197948,400.0,149,149,23,0.42953020134228187,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_06_z12492668672_12492668928_cubes.png
7,8264033792,8264034048,12.9125528,400.0,147,147,18,0.14285714285714285,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_07_z8264033792_8264034048_cubes.png
8,12066850560,12066850816,18.854454,400.0,145,145,18,0.3310344827586207,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_08_z12066850560_12066850816_cubes.png
9,8738254080,8738254336,13.653522,400.0,140,140,20,0.3,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_09_z8738254080_8738254336_cubes.png
10,8417009152,8417009408,13.1515768,400.0,139,139,18,0.23741007194244604,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_10_z8417009152_8417009408_cubes.png
11,11202191872,11202192128,17.5034248,400.0,134,134,18,0.26865671641791045,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_11_z11202191872_11202192128_cubes.png
12,12266713856,12266714112,19.166740400000002,400.0,133,133,15,0.19548872180451127,docs/assets/native_grid_dbscan_fine_voxel_like_reasonable_08_7333/whole_file_window_12_z12266713856_12266714112_cubes.png
