centroid_x,centroid_y,energy_max,energy_sum,n_hits,particle_id,path_n_samples,q_theta,row,scale_xy,size_bucket,source_n_hits,source_path,split,theta_xy,view_id,view_n_hits,energy_path_relative_l2,rank,image
1.831262934067629e-05,3.694908280349636e-07,0.6321927905082703,238.47258540987968,511,25638,511,0.9980877661065122,8957,0.5210906376937123,51-512,511,F08/tot_toa__r0000000028.t3pa,test,0.0489310545392167,0,511,0.17649981379508972,1,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_01_p25638.png
4.235581859451248e-05,-5.977523503200317e-06,0.7392317056655884,213.1103551313281,504,90262,504,0.9747517221371916,6638,0.2771897987054926,51-512,504,F08/tot_toa__r0000000028.t3pa,test,0.0531917860054216,0,504,0.2429562211036682,2,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_02_p90262.png
1.1236726683455567e-05,-3.289085678002783e-05,0.743462860584259,216.765918456018,489,16725,489,0.9830404922072952,13211,0.2822104655057393,51-512,489,F08/tot_toa__r0000000037.t3pa,test,-1.2520330973909772,0,489,0.20729674398899078,3,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_03_p16725.png
3.37997954502102e-06,-1.147487110455224e-06,0.7409390807151794,186.6347018405795,465,14139,465,0.9689390349238652,16115,0.2034115321938498,51-512,465,F08/tot_toa__r0000000037.t3pa,test,-0.2777974656182718,0,465,0.18664105236530304,4,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_04_p14139.png
3.419974977537585e-05,-2.764577853839366e-07,0.7888743281364441,202.0748368427157,449,6092,449,0.9972638882275996,15624,0.3797457684935381,51-512,449,D05/tot_toa__r0000000037.t3pa,test,-0.0034924451051437,0,449,0.16423293948173523,5,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_05_p6092.png
1.4195469668535668e-05,-2.890547733675115e-06,0.7417852282524109,185.49373295158148,435,80059,435,0.9668569495956272,8927,0.1932430351753503,51-512,435,F08/tot_toa__r0000000028.t3pa,test,-0.2093117763759606,0,435,0.12178459763526917,6,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_06_p80059.png
0.0001125595921471,1.3912422516940744e-06,0.6614710092544556,119.81435598433018,405,21537,405,0.981607978955757,16489,0.3790628380009491,51-512,405,F08/tot_toa__r0000000042.t3pa,test,0.0170603394780535,0,405,0.2404090017080307,7,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_07_p21537.png
1.3452881589783548e-05,1.943746817059276e-06,0.4857980906963348,148.98841828107834,400,70262,400,0.8566908280952856,17354,0.2043657840901154,51-512,400,F08/tot_toa__r0000000028.t3pa,test,0.1309692425704698,0,400,0.13666807115077972,8,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_08_p70262.png
2.869078180155888e-07,1.5284340235029994e-07,0.6741466522216797,148.35237301886082,396,11544,396,0.9191558713822268,11340,0.1504943110855358,51-512,396,F08/tot_toa__r0000000028.t3pa,test,3.091244005109155,0,396,0.156215637922287,9,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_09_p11544.png
-1.7192756779582652e-05,-1.799727245742691e-05,0.824792742729187,187.3060920163989,391,36,391,0.9976836133342404,9818,0.3731908201306123,51-512,391,08_thu_proton_daily_batch/toa_tot__r0000007294.t3pa,test,-2.3208818901409054,0,391,0.15598197281360626,10,docs/assets/phase2_path_ae_focus_v001/pca_z192_clean_single_10_p36.png
