i,j,z_dist,transform_dist,canonical_rmse,reconstruction_rmse,score
5323,18968,0.32222357392311096,3.105035166268647,0.014640403911471367,0.011234382167458534,9.606462575057346
6389,11025,0.3599011301994324,3.016668011664588,0.015677498653531075,0.02272631600499153,8.358710348170954
13006,14228,0.3430580794811249,2.660433165458894,0.013589666225016117,0.008615536615252495,7.732511817397522
1814,18030,0.41805794835090637,2.972725381680144,0.021777059882879257,0.02850623056292534,7.093828892587605
2022,8738,0.4000134766101837,2.684472133349864,0.021802252158522606,0.021599838510155678,6.694219246799478
11279,19085,0.446534126996994,2.958041990593111,0.021766142919659615,0.021356720477342606,6.609645638516812
15778,22373,0.41168421506881714,2.702482516496948,0.02440039999783039,0.024304455146193504,6.5485483035649805
5323,21780,0.48470020294189453,3.126123412021834,0.027447765693068504,0.008316992782056332,6.436323050900227
